"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-01","0.00","55","61","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-02","0.00","54","66","45"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-03","0.00","53","60","44"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-04","0.00","52","60","44"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-05","0.00","54","65","45"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-06","0.00","56","66","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-07","0.00","53","57","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-08","0.00","56","61","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-09","0.00","57","75","46"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-10","0.00","61","74","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-11","0.00","65","79","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-12","0.00","64","80","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-13","0.00","62","69","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-14","0.00","61","71","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-15","0.01","61","70","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-16","0.00","65","74","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-17","0.08","62","65","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-18","0.00","60","63","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-19","0.00","58","62","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-20","0.00","59","75","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-21","0.00","58","69","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-22","0.00","65","74","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-23","0.00","64","73","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-24","0.00","60","69","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-25","0.00","56","65","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-26","0.00","56","72","46"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-27","0.00","57","70","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-28","0.00","59","75","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-29","0.00","62","71","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-30","0.00","58","69","45"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-01-31","0.00","55","64","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-02-01","0.00","57","63","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-02-02","0.00","56","65","45"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2022-02-03","0.00","56","66","45"
